city_code,community_id,merchant_count,anchor_count,anchor_merchants
shanghai,349,9,3,0089264|0089647|0083731
shanghai,350,9,3,0084596|0102538|0102558
shanghai,351,9,3,0153691|0153686|0153683
shanghai,352,8,3,0082072|0000202|0082073
shanghai,353,8,3,0000805|0000798|0000800
shanghai,354,8,3,0002455|0002445|0002439
shanghai,355,8,3,0002474|0002487|0002482
shanghai,356,8,3,0002603|0002580|0002618
shanghai,357,8,3,0002898|0002897|0002888
shanghai,358,8,3,0003117|0003120|0003098
shanghai,359,8,3,0004033|0004008|0004032
shanghai,360,8,3,0015012|0014838|0015010
shanghai,361,8,3,0100456|0100450|0100452
shanghai,362,8,3,0148478|0048496|0093989
shanghai,363,8,3,0017714|0017699|0017709
shanghai,364,8,3,0018401|0148137|0018222
shanghai,365,8,3,0100305|0069359|0080469
shanghai,366,8,3,0162023|0018329|0162024
shanghai,367,8,3,0018373|0157497|0018047
shanghai,368,8,3,0089534|0018189|0044163
shanghai,369,8,3,0109314|0096291|0084657
shanghai,370,8,3,0019755|0043151|0151465
shanghai,371,8,3,0209540|0020927|0020899
shanghai,372,8,3,0024145|0024119|0024143
shanghai,373,8,3,0024427|0024436|0024428
shanghai,374,8,3,0024882|0024863|0024887
shanghai,375,8,3,0027923|0027930|0027896
shanghai,376,8,3,0034253|0034234|0034224
shanghai,377,8,3,0034947|0034933|0034948
shanghai,378,8,3,0109562|0153273|0050202
shanghai,379,8,3,0035701|0089067|0091920
shanghai,380,8,3,0116250|0039400|0039401
shanghai,381,8,3,0133919|0089663|0089280
shanghai,382,8,3,0044887|0044895|0044898
shanghai,383,8,3,0132456|0097098|0125446
shanghai,384,8,3,0109520|0089127|0089510
shanghai,385,8,3,0105130|0089636|0064982
shanghai,386,8,3,0065261|0065235|0065264
shanghai,387,8,3,0151023|0096436|0069073
shanghai,388,8,3,0101821|0101816|0101820
shanghai,389,8,3,0088907|0120533|0088732
shanghai,390,8,3,0089771|0100933|0089410
shanghai,391,8,3,0089268|0082347|0218255
shanghai,392,8,3,0089154|0089108|0091961
shanghai,393,8,3,0104755|0104773|0104758
shanghai,394,8,3,0130038|0129969|0129897
shanghai,395,8,3,0136150|0136143|0135963
shanghai,396,7,3,0001073|0001052|0001066
shanghai,397,7,3,0002682|0002670|0002692
shanghai,398,7,3,0003376|0003373|0003363
shanghai,399,7,3,0033055|0033048|0008308
shanghai,400,7,3,0016379|0070335|0070334
shanghai,401,7,3,0019420|0147996|0143435
shanghai,402,7,3,0102238|0156163|0156160
shanghai,403,7,3,0018496|0018433|0156127
shanghai,404,7,3,0055085|0048845|0151012
shanghai,405,7,3,0022507|0022513|0022504
shanghai,406,7,3,0022854|0022855|0022849
shanghai,407,7,3,0150212|0148954|0150202
shanghai,408,7,3,0074500|0040793|0088204
shanghai,409,7,3,0089161|0044024|0089544
shanghai,410,7,3,0052967|0052977|0052965
shanghai,411,7,3,0169304|0169316|0169314
shanghai,412,7,3,0066895|0066879|0066883
shanghai,413,7,3,0067993|0068020|0067995
shanghai,414,7,3,0069909|0080036|0080063
shanghai,415,7,3,0075039|0089402|0092259
shanghai,416,7,3,0086246|0217262|0083130
shanghai,417,7,3,0089344|0089724|0092581
shanghai,418,7,3,0089756|0089376|0092233
shanghai,419,7,3,0106134|0106131|0106114
shanghai,420,7,3,0228321|0230538|0176850
shanghai,421,7,3,0237009|0237018|0237012
shanghai,422,6,3,0150980|0109529|0152674
shanghai,423,6,3,0000616|0000622|0000597
shanghai,424,6,3,0000759|0000734|0000765
shanghai,425,6,3,0001858|0001861|0001886
shanghai,426,6,3,0002120|0002117|0002103
shanghai,427,6,3,0014437|0074469|0074470
shanghai,428,6,3,0039309|0017718|0017707
shanghai,429,6,3,0018032|0132672|0132738
shanghai,430,6,3,0019850|0018242|0019849
shanghai,431,6,3,0132654|0042998|0018422
shanghai,432,6,3,0019841|0157376|0068490
shanghai,433,6,3,0020114|0020111|0020115
shanghai,434,6,3,0069270|0097521|0021616
shanghai,435,6,3,0022782|0022776|0022783
shanghai,436,6,3,0023153|0023123|0023138
shanghai,437,6,3,0023229|0023211|0023214
shanghai,438,6,3,0023631|0023624|0023626
shanghai,439,6,3,0023873|0023854|0023841
shanghai,440,6,3,0025159|0025135|0025148
shanghai,441,6,3,0027800|0027799|0027841
shanghai,442,6,3,0029488|0029489|0029491
shanghai,443,6,3,0031670|0031647|0031669
shanghai,444,6,3,0033452|0033441|0033449
shanghai,445,6,3,0033493|0033465|0033495
shanghai,446,6,3,0033490|0033459|0033498
shanghai,447,6,3,0034206|0034208|0034183
shanghai,448,6,3,0034586|0034583|0034570
shanghai,449,6,3,0035097|0148346|0169473
shanghai,450,6,3,0035645|0075057|0075059
shanghai,451,6,3,0036126|0225029|0036120
shanghai,452,6,3,0042957|0100228|0037681
shanghai,453,6,3,0042107|0042095|0042098
